-0.0505,0.1309,1.6662,5.6859,2.9440,-6.2551,-0.6001,2.4527,-0.0459,2.2386
1.7426,2.0998,0.8870,-0.4274,-1.2683,4.0176,1.0622,-0.3942,0.1817,-0.1474
0.9457,-1.0362,-0.5429,0.7622,-0.8967,4.0909,0.5778,0.8272,0.8961,0.2191
2.8697,-1.7564,3.5942,6.1751,-1.2892,3.1519,0.1789,3.2875,-0.7861,3.4218
0.0825,0.7603,0.9047,1.8761,3.3402,-5.4509,-1.3630,0.2145,-0.6965,-0.2810
-4.5152,1.1410,-0.3014,-0.0714,2.6809,-9.9480,-0.7190,-0.7305,7.5426,-11.3190
-1.1961,-1.1538,2.3071,0.7139,-1.9508,-1.6662,1.2289,0.3555,0.8613,0.1376
2.8969,2.3402,-0.5292,0.6600,3.3607,0.1824,-1.3438,0.2662,1.2674,-3.4655
3.1019,1.6222,0.5938,-0.9200,0.3682,4.5327,-0.3685,-1.1307,0.6452,-1.2100
0.9052,-1.4974,0.0142,1.7247,-0.3489,1.1139,-0.1391,0.6990,1.6277,-2.9003
-0.8530,0.6320,3.4848,2.1571,3.5967,-9.7830,-1.1591,0.4346,-0.7073,0.6474
-0.2461,-6.4402,6.0405,6.7399,0.5276,-8.7048,0.7170,3.6290,1.2447,-2.1792
0.4268,-2.4327,0.8147,3.4535,1.1008,-1.9073,-0.9770,1.0302,1.9312,-2.6036
-0.2842,2.4248,0.3446,-0.5764,-0.0556,-0.7295,0.4004,-0.4626,-0.5325,2.5337
2.2126,-0.2472,0.7463,2.7070,2.1463,0.2416,-1.4087,0.0487,-1.1338,4.1996
0.5358,-4.3736,2.6161,8.4060,1.4221,-4.5670,0.2549,2.9343,-0.4673,0.6435
1.7743,-1.8895,1.6175,3.3608,1.1476,-1.1028,-1.0268,1.0588,-1.0212,2.2454
0.8493,-3.9063,2.4917,5.2788,-0.3083,-2.7527,-0.1667,2.4919,2.5786,-3.8736
-0.6089,-2.7559,2.1556,1.4622,-1.3933,-1.6307,0.2590,1.0957,0.7489,-1.0224
-0.2542,-4.7082,1.8039,6.1468,0.4532,-1.3661,-0.0847,2.0562,-0.1442,-0.7349
